SampleID,Porosity_%,Permeability_mD,Density_g_cm3,Lithology
S-001,16.52,103.944,2.408,Sandstone
S-002,9.8,11.418,2.548,Sandstone
S-003,18.75,2089.594,2.331,Dolomite
S-004,19.7,17426.832,2.331,Limestone
S-005,5.24,2.052,2.728,Sandstone
S-006,8.49,6.861,2.508,Shale
S-007,15.64,1939.913,2.411,Limestone
S-008,13.42,13.85,2.591,Dolomite
S-009,14.92,70.008,2.622,Shale
S-010,10.73,4.244,2.48,Limestone
S-011,19.4,1304.252,2.391,Sandstone
S-012,18.89,249.017,2.434,Dolomite
S-013,15.33,517.165,2.556,Shale
S-014,20.64,3355.196,2.341,Dolomite
S-015,17.34,89.516,2.428,Sandstone
S-016,10.7,3.686,2.578,Dolomite
S-017,16.84,792.587,2.469,Limestone
S-018,10.21,35.832,2.528,Sandstone
S-019,19.39,35164.254,2.402,Limestone
S-020,14.75,8627.999,2.41,Shale
S-021,14.08,185.169,2.477,Sandstone
S-022,11.6,6.384,2.513,Limestone
S-023,21.11,315.463,2.395,Shale
S-024,14.23,164.993,2.459,Sandstone
S-025,12.86,16.859,2.531,Limestone
S-026,13.24,36.36,2.552,Limestone
S-027,17.66,353.288,2.443,Sandstone
S-028,16.83,419.112,2.465,Dolomite
S-029,17.06,2543.923,2.447,Shale
S-030,17.15,763.406,2.443,Sandstone
S-031,25.71,67901.38,2.278,Dolomite
S-032,12.97,13.2,2.521,Dolomite
S-033,12.44,4.026,2.509,Sandstone
S-034,10.93,8.73,2.641,Shale
S-035,18.08,972.086,2.507,Sandstone
S-036,20.64,52719.747,2.41,Dolomite
S-037,14.43,153.366,2.445,Shale
S-038,10.8,61.581,2.482,Shale
S-039,10.88,8.314,2.596,Sandstone
S-040,18.25,225.048,2.439,Dolomite
S-041,18.72,398.105,2.443,Sandstone
S-042,17.72,311.751,2.347,Sandstone
S-043,11.67,495.672,2.571,Sandstone
S-044,16.16,111.524,2.48,Shale
S-045,15.58,792.412,2.411,Sandstone
S-046,16.09,95.853,2.435,Dolomite
S-047,19.36,7910.971,2.423,Shale
S-048,16.12,576.056,2.461,Sandstone
S-049,18.39,1010.786,2.409,Sandstone
S-050,15.34,204.181,2.465,Sandstone
S-051,16.45,165.397,2.441,Limestone
S-052,18.16,2026.533,2.435,Shale
S-053,7.71,1.431,2.658,Sandstone
S-054,13.4,13.033,2.371,Shale
S-055,12.65,7.857,2.498,Sandstone
S-056,11.81,35.889,2.532,Shale
S-057,13.62,713.718,2.51,Dolomite
S-058,22.47,16393.497,2.344,Shale
S-059,10.67,12.489,2.452,Shale
S-060,19.84,4283.942,2.419,Shale
S-061,6.59,8.512,2.688,Sandstone
S-062,13.33,91.838,2.423,Sandstone
S-063,15.81,161.022,2.506,Sandstone
S-064,17.93,4431.504,2.415,Limestone
S-065,18.56,2490.503,2.419,Shale
S-066,18.97,14559.204,2.363,Limestone
S-067,13.26,83.953,2.484,Dolomite
S-068,12.69,8.657,2.575,Sandstone
S-069,19.29,317.376,2.44,Shale
S-070,14.04,1003.29,2.576,Sandstone
S-071,8.62,48.932,2.63,Sandstone
S-072,9.33,5.317,2.582,Shale
S-073,10.4,7.426,2.631,Dolomite
S-074,17.49,5601.67,2.46,Limestone
S-075,15.71,58.05,2.506,Sandstone
S-076,18.45,376.938,2.408,Limestone
S-077,12.86,126.453,2.51,Sandstone
S-078,15.79,162.709,2.428,Dolomite
S-079,18.13,1068.845,2.478,Shale
S-080,13.45,58.244,2.439,Sandstone
S-081,17.28,1055.635,2.48,Sandstone
S-082,11.69,184.962,2.515,Sandstone
S-083,13.18,70.882,2.561,Dolomite
S-084,13.09,144.275,2.541,Limestone
S-085,9.02,0.335,2.656,Shale
S-086,17.43,675.281,2.475,Limestone
S-087,12.65,14.365,2.432,Limestone
S-088,15.06,34.224,2.471,Sandstone
S-089,17.4,210.883,2.38,Dolomite
S-090,17.23,405.219,2.416,Sandstone
S-091,18.33,4278.317,2.501,Limestone
S-092,14.51,21.432,2.514,Shale
S-093,12.88,54.86,2.472,Limestone
S-094,14.6,72.419,2.43,Dolomite
S-095,6.56,0.879,2.603,Sandstone
S-096,7.76,11.035,2.523,Limestone
S-097,8.39,8.308,2.541,Limestone
S-098,10.01,63.956,2.565,Limestone
S-099,17.0,453.957,2.503,Sandstone
S-100,10.47,5.019,2.573,Sandstone
S-101,13.11,43.952,2.389,Sandstone
S-102,21.5,10460.042,2.393,Sandstone
S-103,13.22,81.398,2.505,Limestone
S-104,18.69,332.094,2.44,Limestone
S-105,10.33,13.717,2.626,Limestone
S-106,13.97,134.94,2.387,Limestone
S-107,10.25,374.073,2.517,Limestone
S-108,13.3,896.015,2.53,Sandstone
S-109,19.2,614.383,2.333,Limestone
S-110,6.36,0.829,2.678,Sandstone
S-111,17.17,82.218,2.461,Sandstone
S-112,16.19,155.864,2.499,Limestone
S-113,12.03,49.737,2.491,Limestone
S-114,7.77,14.653,2.624,Sandstone
S-115,15.36,79.93,2.523,Limestone
S-116,12.35,15.691,2.526,Limestone
S-117,16.16,17.884,2.469,Shale
S-118,15.11,151.257,2.487,Limestone
S-119,23.01,4118.84,2.312,Shale
S-120,13.8,42.968,2.486,Sandstone
